id_municipio,id_municipio_nome,sigla_uf,taxa_alfabetizacao,indice_envelhecimento,idade_mediana,populacao_indigena,populacao_indigena_terra_indigena,populacao_quilombola,populacao_quilombola_territorio_quilombola
2503555,Cacimbas,PB,0.75257,32.01,26.0,10,0,1698,0
2509057,Marcação,PB,0.76662,28.13,28.0,7926,7926,0,0
2501401,Baía da Traição,PB,0.82284,28.42,29.0,7985,6207,0,0
2504033,Capim,PB,0.71533,32.2,29.0,25,0,0,0
2509305,Mataraca,PB,0.79816,31.27,29.0,997,0,0,0
2503001,Caaporã,PB,0.81433,28.68,30.0,34,0,1,0
2511905,Pitimbu,PB,0.81678,30.8,30.0,157,0,56,0
2500601,Alhandra,PB,0.82422,29.64,30.0,20,0,45,0
2511608,Pilões,PB,0.71484,44.98,31.0,2,0,0,0
2513158,Santa Cecília,PB,0.74375,46.29,31.0,3,0,0,0
2512788,Riacho de Santo Antônio,PB,0.78975,39.72,31.0,0,0,0,0
2506707,Imaculada,PB,0.78722,45.37,31.0,18,0,0,0
2515401,São Vicente do Seridó,PB,0.82345,45.7,31.0,0,0,0,0
2516706,Teixeira,PB,0.83017,43.33,31.0,64,0,71,0
2500577,Algodão de Jandaíra,PB,0.70372,41.69,31.0,7,0,0,0
2509396,Maturéia,PB,0.7983,42.36,31.0,0,0,11,0
2507705,Juazeirinho,PB,0.82339,39.24,31.0,3,0,0,0
2508901,Mamanguape,PB,0.78527,38.91,31.0,445,0,0,0
2504603,Conde,PB,0.84092,31.43,31.0,548,0,3008,0
2511707,Pilõezinhos,PB,0.73277,43.91,31.0,0,0,0,0
2508604,Lucena,PB,0.82595,35.27,31.0,88,0,0,0
2504900,Cruz do Espírito Santo,PB,0.73757,36.23,31.0,2,0,0,0
2507903,Juripiranga,PB,0.72904,47.93,32.0,3,0,0,0
2514453,São José dos Ramos,PB,0.69281,44.93,32.0,12,0,0,0
2501351,Assunção,PB,0.81007,44.77,32.0,8,0,0,0
2513703,Santa Rita,PB,0.85624,35.06,32.0,322,0,0,0
2505709,Dona Inês,PB,0.71882,54.47,32.0,7,0,796,0
2512408,Puxinanã,PB,0.85248,47.09,32.0,0,0,0,0
2509008,Manaíra,PB,0.7337,48.38,32.0,0,0,217,161
2500403,Alagoa Nova,PB,0.78214,46.59,32.0,10,0,0,0
2505204,Cuitegi,PB,0.75704,45.41,32.0,6,0,0,0
2502052,Bernardino Batista,PB,0.75633,47.32,32.0,0,0,0,0
2507101,Itapororoca,PB,0.72787,49.36,32.0,29,0,0,0
2500502,Alagoinha,PB,0.73455,46.77,32.0,7,0,0,0
2502409,Bonito de Santa Fé,PB,0.79429,47.6,32.0,8,0,0,0
2512002,Pocinhos,PB,0.81486,50.68,32.0,11,0,0,0
2509339,Matinhas,PB,0.76535,43.65,32.0,1,0,14,14
2512507,Queimadas,PB,0.842,46.97,32.0,20,0,0,0
2513505,Santana de Mangueira,PB,0.72856,57.75,32.0,0,0,0,0
2500536,Alcantil,PB,0.80219,46.47,32.0,0,0,0,0
2505279,Curral de Cima,PB,0.68576,60.32,34.0,1,0,0,0
2512804,Riacho dos Cavalos,PB,0.78656,57.94,34.0,1,0,9,0
2516003,Solânea,PB,0.76755,63.16,34.0,9,0,0,0
2505501,Vista Serrana,PB,0.7909,54.66,34.0,0,0,0,0
2501500,Bananeiras,PB,0.75037,56.59,34.0,8,0,0,0
2503704,Cajazeiras,PB,0.86278,61.08,34.0,31,0,0,0
2505303,Curral Velho,PB,0.77166,54.61,34.0,0,0,2,0
2515930,Sertãozinho,PB,0.82341,62.11,34.0,14,0,0,0
2514602,São José do Bonfim,PB,0.79506,52.9,34.0,0,0,0,0
2501534,Baraúna,PB,0.77006,67.74,34.0,2,0,0,0
2502102,Boa Ventura,PB,0.75783,59.55,34.0,9,0,0,0
2503209,Cabedelo,PB,0.91478,43.74,34.0,275,0,0,0
2508505,Livramento,PB,0.82041,58.01,34.0,2,0,442,0
2513356,Santa Inês,PB,0.73019,47.37,34.0,0,0,0,0
2504108,Carrapateira,PB,0.78503,55.14,34.0,2,0,0,0
2512721,Pedro Régis,PB,0.74452,57.72,34.0,12,0,0,0
2501153,Areia de Baraúnas,PB,0.76311,58.53,34.0,0,0,0,0
2503506,Cacimba de Dentro,PB,0.70047,61.84,34.0,9,0,0,0
2507804,Junco do Seridó,PB,0.81344,56.87,34.0,3,0,0,0
2513000,Salgadinho,PB,0.75217,59.86,34.0,2,0,0,0
2511400,Picuí,PB,0.81699,60.83,34.0,5,0,30,0
2506806,Ingá,PB,0.74787,60.75,34.0,7,0,370,306
2502805,Brejo do Cruz,PB,0.76922,52.57,34.0,3,0,0,0
2505352,Damião,PB,0.67268,60.27,34.0,0,0,0,0
2510709,Passagem,PB,0.79637,54.41,34.0,4,0,0,0
2515906,Serraria,PB,0.72011,60.28,34.0,11,0,0,0
2509602,Monte Horebe,PB,0.77306,61.71,34.0,1,0,0,0
2505600,Diamante,PB,0.75096,56.59,34.0,0,0,592,49
2507309,Jacaraú,PB,0.74971,56.79,34.0,26,0,0,0
2510808,Patos,PB,0.87181,50.64,34.0,77,0,0,0
2501807,Bayeux,PB,0.87224,44.46,34.0,316,0,0,0
2516102,Soledade,PB,0.86287,54.43,34.0,5,0,0,0
2500304,Alagoa Grande,PB,0.72553,58.51,34.0,8,0,946,395
2516508,Taperoá,PB,0.80789,59.96,34.0,11,0,2,0
2516805,Triunfo,PB,0.80794,67.77,34.0,3,0,142,0
2504009,Campina Grande,PB,0.91972,52.31,34.0,469,0,0,0
2510105,Nova Floresta,PB,0.80096,63.06,34.0,6,0,0,0
2504801,Coremas,PB,0.74242,58.74,34.0,0,0,437,0
2506400,Gurinhém,PB,0.70915,51.9,34.0,2,0,0,0
2504207,Catingueira,PB,0.745,55.11,34.0,8,0,0,0
2506301,Guarabira,PB,0.85251,48.82,34.0,75,0,3,0
2512747,Riachão,PB,0.73601,59.62,34.0,0,0,20,0
2502706,Borborema,PB,0.75639,57.88,34.0,6,0,0,0
2512754,Riachão do Bacamarte,PB,0.7707,55.86,34.0,0,0,412,260
2512903,Rio Tinto,PB,0.80432,50.06,34.0,6169,4905,0,0
2514503,São José de Piranhas,PB,0.78745,61.59,34.0,2,0,0,0
2514107,São João do Tigre,PB,0.72295,62.51,34.0,6,0,255,0
2508208,Lagoa de Dentro,PB,0.74938,60.63,34.0,9,0,0,0
2503605,Caiçara,PB,0.75029,55.3,34.0,2,0,0,0
2512762,Riachão do Poço,PB,0.70757,52.41,34.0,0,0,0,0
2500734,Amparo,PB,0.80058,50.6,34.0,90,0,0,0
2505907,Emas,PB,0.73957,51.88,34.0,0,0,0,0
2516300,Sumé,PB,0.8282,68.88,36.0,22,0,15,0
2506905,Itabaiana,PB,0.78401,63.07,36.0,8,0,0,0
2508703,Mãe d'Água,PB,0.76662,63.31,36.0,2,0,0,0
2501609,Barra de Santa Rosa,PB,0.72432,74.21,36.0,2,0,0,0
2512200,Prata,PB,0.80154,68.91,36.0,2,0,0,0
2511301,Piancó,PB,0.80455,67.45,36.0,4,0,0,0
2502201,Bom Jesus,PB,0.78811,70.41,36.0,1,0,0,0
2513653,Joca Claudino,PB,0.80943,73.44,36.0,0,0,0,0
2502904,Brejo dos Santos,PB,0.79544,72.64,36.0,3,0,0,0
2513927,São Bentinho,PB,0.76276,68.03,36.0,6,0,0,0
2505808,Duas Estradas,PB,0.79381,71.32,36.0,4,0,0,0
2514552,São José de Princesa,PB,0.76777,65.6,36.0,2,0,109,0
2503100,Cabaceiras,PB,0.90712,67.25,36.0,3,0,0,0
2509370,Mato Grosso,PB,0.67545,67.61,36.0,0,0,0,0
2513406,Santa Luzia,PB,0.85094,70.42,36.0,9,0,1323,259
2513109,Salgado de São Félix,PB,0.70363,74.1,36.0,4,0,0,0
2511103,Pedra Lavrada,PB,0.79968,75.19,36.0,3,0,0,0
2500775,Aparecida,PB,0.76998,67.71,36.0,9,0,0,0
2504306,Catolé do Rocha,PB,0.83351,62.27,36.0,20,0,426,0
2514701,São José do Sabugi,PB,0.82358,71.78,36.0,3,0,0,0
2502003,Belém do Brejo do Cruz,PB,0.71361,64.77,36.0,0,0,21,0
2512101,Pombal,PB,0.81009,70.3,36.0,104,0,167,0
2514206,São José da Lagoa Tapada,PB,0.6937,76.09,36.0,9,0,0,0
2501575,Barra de Santana,PB,0.75132,70.12,36.0,1,0,0,0
2510907,Paulista,PB,0.76495,67.19,36.0,1,0,0,0
2505105,Cuité,PB,0.77135,72.6,36.0,2,0,0,0
2502607,Igaracy,PB,0.75304,71.1,36.0,0,0,0,0
2504074,Caraúbas,PB,0.80618,74.05,36.0,2,0,0,0
2516904,Uiraúna,PB,0.78595,76.37,36.0,2,0,0,0
2513943,São Domingos do Cariri,PB,0.83733,65.63,36.0,0,0,0,0
2508406,Lastro,PB,0.72734,72.44,36.0,0,0,0,0
2500700,São João do Rio do Peixe,PB,0.78594,84.92,38.0,3,0,0,0
2514800,São José dos Cordeiros,PB,0.82151,79.51,38.0,0,0,4,0
2513307,Santa Helena,PB,0.78162,90.33,38.0,0,0,0,0
2504850,Coxixola,PB,0.82965,101.4,40.0,2,0,0,0
2514909,São Mamede,PB,0.82407,88.96,40.0,1,0,16,0
2513984,São Francisco,PB,0.73893,100.19,40.0,0,0,0,0
2512309,Princesa Isabel,PB,0.82125,52.01,33.0,35,0,23,0
2505006,Cubati,PB,0.80584,55.09,33.0,10,0,0,0
2508307,Lagoa Seca,PB,0.84582,48.03,33.0,19,0,0,0
2513901,São Bento,PB,0.76852,46.29,33.0,8,0,354,0
2501302,Aroeiras,PB,0.73755,57.76,33.0,6,0,0,0
2506004,Esperança,PB,0.81837,51.59,33.0,45,0,0,0
2515005,São Miguel de Taipu,PB,0.74721,43.31,33.0,2,0,0,0
2514305,São José de Caiana,PB,0.73881,57.53,33.0,0,0,0,0
2501005,Araruna,PB,0.69996,52.84,33.0,4,0,0,0
2502508,Boqueirão,PB,0.81561,49.56,33.0,19,0,0,0
2507002,Itaporanga,PB,0.83073,49.44,33.0,9,0,0,0
2506251,Gado Bravo,PB,0.7485,54.8,33.0,5,0,0,0
2511509,Pilar,PB,0.73685,45.36,33.0,5,0,0,0
2516151,Sossêgo,PB,0.75937,54.86,33.0,2,0,0,0
2509404,Mogeiro,PB,0.74583,49.79,33.0,5,0,171,167
2515302,Sapé,PB,0.7635,49.84,33.0,31,0,0,0
2506103,Fagundes,PB,0.74813,57.56,33.0,8,0,0,0
2511806,Pirpirituba,PB,0.78743,53.59,33.0,1,0,0,0
2505238,Cuité de Mamanguape,PB,0.69405,56.99,33.0,3,0,0,0
2509909,Natuba,PB,0.69997,56.32,33.0,0,0,0,0
2516607,Tavares,PB,0.75942,56.05,33.0,2,0,814,0
2516755,Tenório,PB,0.78886,48.15,33.0,0,0,0,0
2504355,Caturité,PB,0.83638,50.83,33.0,1,0,0,0
2517001,Umbuzeiro,PB,0.7119,55.42,33.0,0,0,0,0
2509206,Massaranduba,PB,0.7812,53.48,33.0,1,0,0,0
2507200,Itatuba,PB,0.72189,51.93,33.0,4,0,0,0
2508554,Logradouro,PB,0.77237,44.89,33.0,0,0,0,0
2505402,Desterro,PB,0.79968,55.09,33.0,6,0,36,0
2503803,Caldas Brandão,PB,0.73657,51.18,33.0,0,0,0,0
2507606,Juarez Távora,PB,0.71959,51.72,33.0,10,0,0,0
2512036,Poço Dantas,PB,0.70524,53.58,33.0,1,0,0,0
2515971,Sobrado,PB,0.75058,51.46,33.0,4,0,0,0
2511202,Pedras de Fogo,PB,0.76744,42.7,33.0,23,0,13,0
2509503,Montadas,PB,0.83188,51.54,33.0,0,0,0,0
