ano,sigla_uf,sigla_uf_nome,id_municipio,id_municipio_nome,rede,ensino,anos_escolares,taxa_aprovacao,indicador_rendimento,nota_saeb_matematica,nota_saeb_lingua_portuguesa,nota_saeb_media_padronizada,ideb,projecao
2021,PB,Paraíba,2513505,Santana de Mangueira,publica,medio,todos (1-4),100.0,1.0,,,,,
2021,PB,Paraíba,2503407,Cacimba de Areia,publica,medio,todos (1-4),100.0,1.0,,,,,
2021,PB,Paraíba,2514305,São José de Caiana,publica,medio,todos (1-4),99.7,0.997319,,,,,
2021,PB,Paraíba,2501534,Baraúna,publica,medio,todos (1-4),97.1,0.97482,,,,,
2021,PB,Paraíba,2508109,Lagoa,publica,medio,todos (1-4),91.4,0.914557,,,,,
2021,PB,Paraíba,2511509,Pilar,publica,medio,todos (1-4),100.0,1.0,,,,,
2021,PB,Paraíba,2516409,Tacima,publica,medio,todos (1-4),92.1,0.921914,,,,,
2021,PB,Paraíba,2502052,Bernardino Batista,publica,medio,todos (1-4),100.0,1.0,,,,,
2021,PB,Paraíba,2504157,Casserengue,estadual,medio,todos (1-4),94.1,0.938868,,,,,
2021,PB,Paraíba,2512747,Riachão,publica,medio,todos (1-4),93.1,0.924041,,,,,
2021,PB,Paraíba,2508802,Malta,estadual,fundamental,finais (6-9),96.7,0.961456,,,,,
2021,PB,Paraíba,2500403,Alagoa Nova,municipal,fundamental,finais (6-9),99.0,0.991202,,,,,
2021,PB,Paraíba,2514503,São José de Piranhas,publica,fundamental,finais (6-9),98.8,0.987705,,,,,
2021,PB,Paraíba,2506004,Esperança,estadual,fundamental,finais (6-9),100.0,1.0,,,,,
2021,PB,Paraíba,2500601,Alhandra,estadual,fundamental,iniciais (1-5),,,,,,,
2021,PB,Paraíba,2514552,São José de Princesa,municipal,fundamental,iniciais (1-5),,,,,,,
2021,PB,Paraíba,2515807,Serra Redonda,estadual,fundamental,iniciais (1-5),,,,,,,
2021,PB,Paraíba,2516003,Solânea,estadual,fundamental,iniciais (1-5),,,,,,,
2021,PB,Paraíba,2504603,Conde,estadual,fundamental,iniciais (1-5),,,,,,,
2021,PB,Paraíba,2516706,Teixeira,publica,medio,todos (1-4),97.7,0.976658,,,,,
2021,PB,Paraíba,2505907,Emas,estadual,medio,todos (1-4),96.4,0.96515,,,,,
2021,PB,Paraíba,2502300,Bom Sucesso,estadual,medio,todos (1-4),100.0,1.0,,,,,
2021,PB,Paraíba,2500908,Arara,estadual,medio,todos (1-4),97.0,0.966823,,,,,
2021,PB,Paraíba,2509206,Massaranduba,publica,medio,todos (1-4),99.0,0.989322,,,,,
2021,PB,Paraíba,2515104,São Sebastião de Lagoa de Roça,municipal,fundamental,finais (6-9),91.4,0.920355,,,,,
2021,PB,Paraíba,2504207,Catingueira,municipal,fundamental,finais (6-9),99.3,0.993371,,,,,
2021,PB,Paraíba,2516102,Soledade,municipal,fundamental,finais (6-9),98.7,0.987532,,,,,
2021,PB,Paraíba,2513158,Santa Cecília,publica,fundamental,finais (6-9),88.2,0.880755,,,,,
2021,PB,Paraíba,2513653,Joca Claudino,estadual,fundamental,finais (6-9),,,,,,,
2021,PB,Paraíba,2511301,Piancó,estadual,fundamental,finais (6-9),97.2,0.975396,,,,,
