ano,id_municipio_nome,sigla_uf,sigla_uf_nome,populacao_atendida_agua,populacao_atentida_esgoto,populacao_urbana,populacao_urbana_atendida_esgoto,populacao_urbana_atendida_agua
2019,Cabedelo,PB,Paraíba,67736,24699,67727,67727,67727
2017,Pocinhos,PB,Paraíba,13020,10516,10516,10516,10516
2020,São Sebastião do Umbuzeiro,PB,Paraíba,3450,3450,2277,2277,2200
2012,Alagoa Nova,PB,Paraíba,7827,3645,9878,9878,7827
2012,Congo,PB,Paraíba,3869,3000,2945,2945,2945
2014,Cubati,PB,Paraíba,5656,652,4966,4966,4966
2013,Manaíra,PB,Paraíba,6976,5000,6166,6166,6166
2013,Santa Luzia,PB,Paraíba,13779,13345,13869,13869,13779
2022,Monteiro,PB,Paraíba,26320,16563,,,
2022,Santa Helena,PB,Paraíba,3550,5853,,,
2020,Arara,PB,Paraíba,11039,4551,9551,9551,9551
2021,Boqueirão,PB,Paraíba,11889,12684,12750,12750,11889
2021,Borborema,PB,Paraíba,3861,300,3878,3878,2000
2021,Camalaú,PB,Paraíba,5275,290,3037,3037,3037
2018,Caraúbas,PB,Paraíba,1909,2616,1611,1611,1611
2021,São João do Rio do Peixe,PB,Paraíba,10023,4500,6817,6817,6817
2015,Cabedelo,PB,Paraíba,65634,13074,65625,65625,65625
2013,Cubati,PB,Paraíba,5431,593,4936,4936,4936
2013,Guarabira,PB,Paraíba,54206,29056,50780,50780,50780
2016,São José da Lagoa Tapada,PB,Paraíba,0,2127,3365,3365,0
2016,São José do Sabugi,PB,Paraíba,3210,2579,2659,2659,2656
2011,Sapé,PB,Paraíba,30617,9465,38305,38305,30617
2022,Conceição,PB,Paraíba,12683,18,,,
2020,Araruna,PB,Paraíba,6872,6238,10111,10111,6872
2018,Camalaú,PB,Paraíba,5316,358,3010,3010,3010
2017,Natuba,PB,Paraíba,3567,10455,3598,3598,3567
2017,Queimadas,PB,Paraíba,28721,681,23950,23950,23950
2020,Quixabá,PB,Paraíba,1041,739,739,739,739
2018,Santa Rita,PB,Paraíba,119932,5356,117077,117077,117077
2013,Amparo,PB,Paraíba,1501,445,1107,1107,1107
